#Distpc,HIP#,HD#,Vmag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,SpT,Ref_SpT,BCv,Mbol,logL,target lists,Habex#,HIP#,L-A,L-B,Hab,SR1,SR3,#lists,logR'HK,RefR'HK,vsini,RefVsini,Msun,SpT,HIP#,Teff,HD#,notes,Teff,eTeff,ref_Teff,BCv,log(g),elog(g),ref_logg,[Fe/H],e[Fe/H],ref_FeH,Rsun,Solar Twin?,"sigRV(AF,vsini)",N(<6500K),N(vsini),N(F7-K9),"N(Teff,vsini)",#lists,Sample,HIP#,HD#,NEID,HIP,solRad,_RAJ2000,_DEJ2000
3.639,HIP 108870,HD_209100,4.69,1.056,0.016,274.8048,0.2494,GaiaDR2,6.89,Sun-like,K4V(k),2006AJ....132..161G,-0.51,6.38,-0.654,"L-A,L-B,Hab,SR1",9,HIP 108870,1,1,3,1,0,6,-4.559,Henry96,1.4,Glebocki05,0.72,K4V(k),HIP 108870,1,HD_209100,active,4649,36,2013ApJ...764...78R,,4.63,0.01,2013ApJ...764...78R,-0.19,0.07,2013ApJ...764...78R,0.726,0,0.00,1,2,1,4,6,MUST,HIP 108870,HD_209100,0,HIP 108870,0.68029928,330.84024,-56.785976
17.627,HIP 17651,HD_23754,4.22,0.434,0.012,56.73,0.19,HIP2,2.99,hot,F5IV-V,2006AJ....132..161G,-0.02,2.97,0.708,"L-A,L-B,Hab",124,HIP 17651,1,1,1,0,0,3,-4.855,Schroder09,13.2,Glebocki05,1.33,F5IV-V,HIP 17651,0,HD_23754,hot,6685,80,2011A&A...530A.138C,,4.20,NA,1996A&A...314..191G,0.01,NA,1996A&A...314..191G,1.685,0,#DIV/0!,0,0,0,0,3,NO,HIP 17651,HD_23754,0,HIP 17651,1.51690973,56.712032,-23.249723
4.985,HIP 19849,HD_26965,4.43,0.820,0.000,200.62,0.23,HIP2,5.94,Sun-like,K0.5V,2006AJ....132..161G,-0.21,5.73,-0.397,"L-A,L-B,Hab,SR1",12,HIP 19849,1,1,3,1,0,6,-4.872,Baliunas96,0.9,Glebocki05,0.86,K0.5V,HIP 19849,1,HD_26965,slightly active,5202,49,2013ApJ...764...78R,,4.55,0.03,2013ApJ...764...78R,-0.28,0.06,2013ApJ...764...78R,0.780,0,0.00,1,2,1,4,6,MUST,HIP 19849,HD_26965,GTO,HIP 19849,0.81523525,63.818,-7.6528707
19.402,HIP 67153,HD_119756,4.23,0.390,0.017,51.54,0.19,HIP2,2.79,hot,F2V,2006AJ....132..161G,-0.005,2.79,0.782,"L-A,Hab",135,HIP 67153,1,0,1,0,0,2,-4.550,Schroder09,63.8,Glebocki05,1.44,F2V,HIP 67153,0,HD_119756,hot,6778,80,2011A&A...530A.138C,,4.11,NA,2003A&A...398.1121E,0.05,NA,2003A&A...398.1121E,1.784,0,#DIV/0!,0,0,0,0,2,NO,HIP 67153,HD_119756,0,HIP 67153,1.75071318,206.42186,-33.04372
13.963,HIP 16852,HD_22484,4.29,0.575,0.008,71.62,0.54,HIP2,3.57,Sun-like,F9IV-V,1989ApJS...71..245K,-0.05,3.52,0.490,"L-A,L-B,Hab",85,HIP 16852,1,1,1,0,0,3,-5.120,Wright04,3.7,Glebocki05,1.14,F9IV-V,HIP 16852,1,HD_22484,quiet,5971,50,2013ApJ...764...78R,,4.06,0.02,2013ApJ...764...78R,-0.09,0.03,2013ApJ...764...78R,1.643,0,0.00,1,2,1,4,3,MUST,HIP 16852,HD_22484,0,HIP 16852,1.65000882,54.21826,0.4016616
18.282,HIP 61174,HD_109085,4.30,0.388,0.014,54.7,0.17,HIP2,2.99,hot,F2V,2006AJ....132..161G,-0.005,2.98,0.702,"L-A,L-B,Hab",128,HIP 61174,1,1,1,0,0,3,-4.313,BoroSaikia18,66.8,Glebocki05,1.44,F2V,HIP 61174,1,HD_109085,hot,6871,48,2012A&A...537A.120Z,,4.20,NA,NA,0.00,0.00,NA,1.584,0,#DIV/0!,0,0,0,0,3,NO,HIP 61174,HD_109085,0,HIP 61174,1.57839306,188.01761,-16.196007
11.819,HIP 77257,HD_141004,4.42,0.604,0.008,84.6121,0.2559,GaiaDR2,4.06,Sun-like,G0-V,1989ApJS...71..245K,-0.065,3.99,0.299,"L-A,L-B,Hab",64,HIP 77257,1,1,1,0,0,3,-5.004,Baliunas96,3.3,Glebocki05,1.09,G0-V,HIP 77257,1,HD_141004,quiet,5900,45,2013ApJ...764...78R,,4.17,0.03,2013ApJ...764...78R,-0.01,0.04,2013ApJ...764...78R,1.351,0,0.00,1,2,1,4,3,MUST,HIP 77257,HD_141004,GTO,HIP 77257,1.42150055,236.61089,7.353073
17.355,HIP 84893,HD_156897,4.39,0.394,0.019,57.62,0.26,HIP2,3.19,hot,F2V,2006AJ....132..161G,-0.005,3.19,0.621,L-A,,HIP 84893,1,0,0,0,0,1,,,18.9,Glebocki05,1.44,F2V,HIP 84893,0,HD_156897,hot,6756,80,2011A&A...530A.138C,,4.20,NA,2003A&A...398.1121E,-0.29,NA,2003A&A...398.1121E,1.492,0,#DIV/0!,0,0,0,0,1,NO,HIP 84893,HD_156897,0,HIP 84893,1.57839306,260.25156,-21.112932
6.733,HIP 72659,HD_131156,4.54,0.720,0.015,148.5195,0.2436,GaiaDR2,5.40,Sun-like,G7V,2003AJ....126.2048G,-0.125,5.27,-0.214,"L-A,L-B",,HIP 72659,1,1,0,0,0,2,-4.363,Baliunas96,3.5,Glebocki05,0.96,G7V,HIP 72659,0,HD_131156,active,5527,10,2005PASJ...57...27T,,4.60,0.02,2005PASJ...57...27T,-0.13,0.02,2005PASJ...57...27T,0.853,0,0.00,1,2,1,4,2,MUST,HIP 72659,HD_131156,0,HIP 72659,0.81314777,222.84741,19.10046
14.135,HIP 12843,HD_17206,4.47,0.481,0.012,70.7449,0.4515,GaiaDR2,3.72,Sun-like,F7V,2009ApJS..180..117A,-0.035,3.68,0.423,"L-A,L-B,Hab",86,HIP 12843,1,1,1,0,0,3,-4.461,BoroSaikia18,27.3,Glebocki05,1.21,F7V,HIP 12843,1,HD_17206,high vsini,6231,145,2004A&A...420..183A,,4.34,0.07,2004A&A...420..183A,-0.08,0.06,2004A&A...420..183A,1.396,0,0.00,1,0,1,2,3,NO,HIP 12843,HD_17206,0,HIP 12843,1.23147735,41.275772,-18.572563
20.165,HIP 21770,HD_29875,4.44,0.342,0.011,49.59,0.14,HIP2,2.92,hot,F2V,2006AJ....132..161G,-0.005,2.91,0.731,"L-A,L-B",,HIP 21770,1,1,0,0,0,2,,,40.4,Glebocki05,1.44,F2V,HIP 21770,1,HD_29875,hot,6972,80,2011A&A...530A.138C,,4.20,NA,NA,0.00,0.00,NA,1.591,0,#DIV/0!,0,0,0,0,2,NO,HIP 21770,HD_29875,0,HIP 21770,1.57839306,70.14047,-41.863754
15.658,HIP 71284,HD_128167,4.47,0.364,0.005,63.8633,0.2303,GaiaDR2,3.50,hot,F4VkF2mF1,2001AJ....121.2148G,-0.015,3.48,0.503,"L-A,L-B,Hab",107,HIP 71284,1,1,1,0,0,3,-4.507,BoroSaikia18,8.1,Glebocki05,1.39,F4VkF2mF1,HIP 71284,1,HD_128167,hot,6745,73,2013ApJ...764...78R,,4.26,0.03,2013ApJ...764...78R,-0.41,0.07,2013ApJ...764...78R,1.307,0,#DIV/0!,0,1,0,1,3,NO,HIP 71284,HD_128167,0,HIP 71284,1.4472418,218.67007,29.74513
21.427,HIP 34834,HD_55892,4.49,0.324,0.012,46.67,0.15,HIP2,2.84,hot,F3V_Fe-1.0,2006AJ....132..161G,-0.01,2.83,0.766,"L-A,L-B,Hab",146,HIP 34834,1,1,1,0,0,3,,,44.2,Glebocki05,1.43,F3V_Fe-1.0,HIP 34834,0,HD_55892,hot,6934,48,2012A&A...537A.120Z,,4.13,NA,1990ApJ...354..310B,-0.37,NA,1990ApJ...354..310B,1.674,0,#DIV/0!,0,0,0,0,3,NO,HIP 34834,HD_55892,0,HIP 34834,1.70491121,108.14011,-46.759304
5.755,HIP 96100,HD_185144,4.67,0.786,0.007,173.77,0.18,HIP2,5.87,Sun-like,K0V,1989ApJS...71..245K,-0.19,5.68,-0.376,"L-A,L-B,Hab,SR1",15,HIP 96100,1,1,3,1,0,6,-4.832,Baliunas96,1.8,Glebocki05,0.87,K0V,HIP 96100,0,HD_185144,slightly active,5318,10,2005PASJ...57...27T,,4.59,0.04,2005PASJ...57...27T,-0.15,0.02,2005PASJ...57...27T,0.764,0,0.00,1,2,1,4,6,MUST,HIP 96100,HD_185144,stan/GTO,HIP 96100,0.78305698,293.08997,69.66118
18.335,HIP 96441,HD_185395,4.49,0.395,0.015,54.54,0.15,HIP2,3.17,hot,F3+V,2003AJ....126.2048G,-0.01,3.16,0.631,L-A,,HIP 96441,1,0,0,0,0,1,-4.626,BoroSaikia18,5.8,Glebocki05,1.42,F3+V,HIP 96441,0,HD_185395,hot,6594,44,2005ApJS..159..141V,,4.04,0.06,2005ApJS..159..141V,-0.08,0.03,2005ApJS..159..141V,1.584,0,#DIV/0!,0,1,0,1,1,NO,HIP 96441,HD_185395,0,HIP 96441,1.88442127,294.11057,50.221104
24.172,HIP 102333,HD_197157,4.51,0.278,0.004,41.37,0.25,HIP2,2.59,hot,A9IV,1989ApJS...69..301G,0.02,2.61,0.851,L-A,,HIP 102333,1,0,0,0,0,1,,,128.0,Glebocki05,1.67,A9IV,HIP 102333,0,HD_197157,hot,7300,NA,NA,,4.20,NA,NA,0.00,0.00,NA,1.665,0,#DIV/0!,0,0,0,0,1,NO,HIP 102333,HD_197157,0,HIP 102333,1.69977775,311.00974,-51.92097
15.832,HIP 77760,HD_142373,4.60,0.563,0.014,63.1627,0.149,GaiaDR2,3.60,Sun-like,G0V_Fe-0.8_CH-0.5,2003AJ....126.2048G,-0.065,3.54,0.481,"L-A,L-B,Hab",109,HIP 77760,1,1,1,0,0,3,-5.042,Baliunas96,3.4,Glebocki05,1.08,G0V_Fe-0.8_CH-0.5,HIP 77760,1,HD_142373,quiet,5776,20,2005PASJ...57...27T,,3.83,0.05,2005PASJ...57...27T,-0.51,0.02,2005PASJ...57...27T,1.738,0,0.00,1,2,1,4,3,MUST,HIP 77760,HD_142373,0,HIP 77760,2.0928868,238.16893,42.45152
21.422,HIP 86614,HD_162003,4.57,0.434,0.004,46.6809,0.4471,GaiaDR2,2.92,hot,F5IV-V,2001AJ....121.2148G,-0.02,2.90,0.738,L-A,,HIP 86614,1,0,0,0,0,1,-4.675,BoroSaikia18,11.9,Glebocki05,1.33,F5IV-V,HIP 86614,1,HD_162003,hot,6423,80,2000Priv.C........F,,4.06,0.10,2000Priv.C........F,-0.07,0.07,2000Priv.C........F,1.888,0,#DIV/0!,1,0,0,1,1,NO,HIP 86614,HD_162003,0,HIP 86614,1.78221326,265.48483,72.14884
17.764,HIP 46509,HD_81997,4.59,0.411,0.015,56.2938,0.5309,GaiaDR2,3.34,hot,F5.5IV-V,2001AJ....121.2148G,-0.025,3.32,0.569,"L-A,Hab",126,HIP 46509,1,0,1,0,0,2,-4.670,Hall07,26.9,Glebocki05,1.29,F5.5IV-V,HIP 46509,1,HD_81997,hot,5161,80,2011A&A...530A.138C,,4.20,NA,NA,0.00,0.00,NA,2.408,0,#DIV/0!,1,0,0,1,2,NO,HIP 46509,HD_81997,0,HIP 46509,1.49392487,142.28708,-2.7689638
3.497,HIP 104214,HD_201091,5.20,1.069,0.015,285.9459,0.1008,GaiaDR2,7.48,Sun-like,K5V,1989ApJS...71..245K,-0.63,6.85,-0.845,"L-A,L-B,Hab",5,HIP 104214,1,1,3,0,0,5,-4.765,Baliunas96,1.8,Glebocki05,0.68,K5V,HIP 104214,1,HD_201091,slightly active,4339,27,2014A&A...564A.133J,,4.43,0.16,2014A&A...564A.133J,-0.33,0.02,2014A&A...564A.133J,0.669,0,0.00,1,2,1,4,5,MUST,HIP 104214,HD_201091,GTO,HIP 104214,0.83231622,316.72476,38.749416
8.555,HIP 64924,HD_115617,4.74,0.709,0.007,116.89,0.22,HIP2,5.08,Sun-like,G6.5V,1989ApJS...71..245K,-0.12,4.96,-0.088,"L-A,L-B,Hab",29,HIP 64924,1,1,2,0,0,4,-5.001,Baliunas96,1.8,Glebocki05,0.97,G6.5V,HIP 64924,1,HD_115617,quiet,5537,16,2013A&A...555A.150T,,4.38,0.04,2013A&A...555A.150T,-0.03,0.01,2013A&A...555A.150T,0.982,0,0.00,1,2,1,4,4,MUST,HIP 64924,HD_115617,GTO,HIP 64924,1.05297881,199.60132,-18.311195
17.437,HIP 76829,HD_139664,4.64,0.413,0.011,57.35,0.16,HIP2,3.43,hot,F4V,2006AJ....132..161G,-0.015,3.42,0.529,"L-A,L-B,Hab",120,HIP 76829,1,1,1,0,0,3,-4.591,Schroder09,89.9,Glebocki05,1.39,F4V,HIP 76829,0,HD_139664,hot,6645,80,2011A&A...530A.138C,,4.20,NA,NA,0.00,0.00,NA,1.387,0,#DIV/0!,0,0,0,0,3,NO,HIP 76829,HD_139664,0,HIP 76829,1.55074828,235.29741,-44.661205
12.484,HIP 24813,HD_34411,4.71,0.624,0.015,80.1054,0.2158,GaiaDR2,4.22,Sun-like,G1.5IV-V_Fe-1,1989ApJS...71..245K,-0.08,4.14,0.239,Hab,70,HIP 24813,0,0,1,0,0,1,-5.085,Isaacson10,1.3,Glebocki05,1.08,G1.5IV-V_Fe-1,HIP 24813,,HD_34411,,5872,66,2013ApJ...764...78R,,4.26,0.03,2013ApJ...764...78R,0.05,0.04,2013ApJ...764...78R,1.272,0,0.00,1,2,1,4,1,WANT,HIP 24813,HD_34411,GTO,HIP 24813,,,_
11.625,HIP 23693,HD_33262,4.71,0.526,0.011,86.0239,0.1516,GaiaDR2,4.38,Sun-like,F9V_Fe-0.5,2006AJ....132..161G,-0.05,4.33,0.163,"L-A,L-B,Hab",62,HIP 23693,1,1,1,0,0,3,-4.426,Schroder09,12.0,Glebocki05,1.14,F9V_Fe-0.5,HIP 23693,1,HD_33262,high vsini,6147,53,2013ApJ...764...78R,,4.44,0.03,2013ApJ...764...78R,-0.17,0.08,2013ApJ...764...78R,1.063,0,0.00,1,0,1,2,3,NO,HIP 23693,HD_33262,0,HIP 23693,1.06533503,76.37773,-57.472702
21.683,HIP 16245,HD_22001,4.71,0.391,0.003,46.12,0.13,HIP2,3.03,hot,F3V,2006AJ....132..161G,-0.01,3.02,0.689,Hab,150,HIP 16245,0,0,1,0,0,1,-5.037,Pace13,13.1,Glebocki05,1.32,F3V,HIP 16245,0,HD_22001,,6678,NA,2012A&A...542A.116A,,4.31,0.14,2015ApJ...804..146D,NA,NA,NA,1.652,,,0,0,0,0,1,NO,HIP 16245,HD_22001,0,HIP 16245,,,_
18.070,HIP 39903,HD_68456,4.75,0.436,0.005,55.3398,0.5399,GaiaDR2,3.47,hot,F6V_Fe-0.8_CH-0.4,2006AJ....132..161G,-0.03,3.44,0.521,"L-A,Hab",144,HIP 39903,1,0,1,0,0,2,-4.221,BoroSaikia18,10.1,Glebocki05,1.30,F6V_Fe-0.8_CH-0.4,HIP 39903,0,HD_68456,hot,6525,80,2011A&A...530A.138C,,4.28,NA,1996A&A...314..191G,-0.29,NA,1996A&A...314..191G,1.426,,,0,0,0,0,2,NO,HIP 39903,HD_68456,0,HIP 39903,1.47058088,122.25279,-61.30243
9.140,HIP 15457,HD_20630,4.84,0.681,0.006,109.41,0.27,HIP2,5.04,Sun-like,G5V,1989ApJS...71..245K,-0.105,4.93,-0.076,"L-A,L-B,Hab",37,HIP 15457,1,1,2,0,0,4,-4.420,Baliunas96,4.5,Glebocki05,0.98,G5V,HIP 15457,0,HD_20630,active,5749,26,2010MNRAS.403.1368G,,4.51,0.05,2010MNRAS.403.1368G,0.08,0.02,2010MNRAS.403.1368G,0.923,1,0.00,1,2,1,4,4,MUST,HIP 15457,HD_20630,0,HIP 15457,0.9112693,49.8404,3.370198
21.231,HIP 86486,HD_160032,4.76,0.415,0.020,47.1011,0.2908,GaiaDR2,3.13,hot,F4V,1989AJ.....98.1049G,-0.015,3.11,0.652,"L-A,L-B,Hab",149,HIP 86486,1,1,1,0,0,3,,,14.0,Glebocki05,1.39,F4V,HIP 86486,1,HD_160032,hot,6620,80,2011A&A...530A.138C,,4.20,NA,NA,0.00,0.00,NA,1.610,0,#DIV/0!,0,0,0,0,3,NO,HIP 86486,HD_160032,0,HIP 86486,1.55074828,265.09927,-49.41559
20.295,HIP 64408,HD_114613,4.85,0.693,0.017,49.2738,0.2195,GaiaDR2,3.31,Sun-like,G4IV,2006AJ....132..161G,-0.1,3.21,0.611,"L-A,Hab,SR3",145,HIP 64408,1,0,1,0,1,3,-5.068,Isaacson10,2.7,Glebocki05,0.99,G4IV,HIP 64408,1,HD_114613,quiet,5670,26,2015A&A...574A..50J,,3.90,0.04,2015A&A...574A..50J,0.16,0.02,2015A&A...574A..50J,2.093,0,0.00,1,2,1,4,3,MUST,HIP 64408,HD_114613,0,HIP 64408,1.84863583,198.01328,-37.80302
23.164,HIP 86201,HD_160922,4.77,0.430,0.009,43.17,0.17,HIP2,2.95,hot,F4V,2009ApJS..180..117A,-0.015,2.93,0.724,L-A,,HIP 86201,1,0,0,0,0,1,-4.572,BoroSaikia18,7.2,Glebocki05,1.39,F4V,HIP 86201,0,HD_160922,hot,6575,NA,2011A&A...530A.138C,,4.20,NA,NA,0.40,NA,1986ApJ...303..724B,1.773,0,#DIV/0!,0,1,0,1,1,NO,HIP 86201,HD_160922,0,HIP 86201,1.55074828,264.23788,68.75797
18.801,HIP 4151,HD_5015,4.80,0.540,0.008,53.1896,0.1273,GaiaDR2,3.43,Sun-like,F8V,2001AJ....121.2148G,-0.04,3.39,0.540,"L-A,Hab",136,HIP 4151,1,0,1,0,0,2,-4.398,BoroSaikia18,8.6,Glebocki05,1.18,F8V,HIP 4151,1,HD_5015,active,6149,64,2013ApJ...764...78R,,4.08,0.03,2013ApJ...764...78R,0.06,0.04,2013ApJ...764...78R,1.641,0,0.00,1,1,1,3,2,WANT,HIP 4151,HD_5015,0,HIP 4151,1.64049475,13.267486,61.12397
20.607,HIP 45038,HD_78154,4.80,0.489,0.007,48.5263,0.183,GaiaDR2,3.23,Sun-like,F7V,1981ApJS...45..437A,-0.035,3.19,0.618,L-A,,HIP 45038,1,0,0,0,0,1,-4.901,BoroSaikia18,5.8,Glebocki05,1.21,F7V,HIP 45038,0,HD_78154,hot,6276,80,2008MNRAS.384..173F,,4.00,0.10,2008MNRAS.384..173F,-0.03,0.07,2008MNRAS.384..173F,1.723,0,0.00,1,1,1,3,1,WANT,HIP 45038,HD_78154,0,HIP 45038,1.8214888,137.5981,67.13402
11.008,HIP 10644,HD_13974,4.84,0.607,0.005,90.845,0.3665,GaiaDR2,4.63,Sun-like,G0.5V_Fe-0.5,1989ApJS...71..245K,-0.07,4.56,0.071,"L-A,L-B,Hab",52,HIP 10644,1,1,1,0,0,3,-4.690,Hall07,2.0,Glebocki05,1.08,G0.5V_Fe-0.5,HIP 10644,1,HD_13974,active,5786,75,2013ApJ...764...78R,,4.29,0.03,2013ApJ...764...78R,-0.53,0.10,2013ApJ...764...78R,1.080,0,0.00,1,2,1,4,3,MUST,HIP 10644,HD_13974,0,HIP 10644,1.23238306,34.26346,34.22423
12.914,HIP 51459,HD_90839,4.82,0.541,0.008,77.4346,0.168,GaiaDR2,4.26,Sun-like,F8V,2003AJ....126.2048G,-0.04,4.22,0.206,"L-A,L-B,Hab",77,HIP 51459,1,1,1,0,0,3,-4.775,BoroSaikia18,8.6,Glebocki05,1.18,F8V,HIP 51459,1,HD_90839,,6186,63,2013ApJ...764...78R,,4.43,0.03,2013ApJ...764...78R,-0.08,0.04,2013ApJ...764...78R,1.104,0,0.00,1,1,1,3,3,WANT,HIP 51459,HD_90839,0,HIP 51459,1.09641481,157.65659,55.980537
9.292,HIP 57443,HD_102365,4.89,0.664,0.004,107.621,0.1636,GaiaDR2,5.05,Sun-like,G2V,2006AJ....132..161G,-0.085,4.96,-0.090,"L-A,L-B,Hab",41,HIP 57443,1,1,2,0,0,4,-4.931,Isaacson10,2.7,Glebocki05,1.02,G2V,HIP 57443,1,HD_102365,quiet,5655,56,2013ApJ...764...78R,,4.44,0.03,2013ApJ...764...78R,-0.29,0.04,2013ApJ...764...78R,0.939,0,0.00,1,2,1,4,4,MUST,HIP 57443,HD_102365,0,HIP 57443,1.00770605,176.62947,-40.500355
15.258,HIP 82860,HD_153597,4.88,0.481,0.007,65.54,0.33,HIP2,3.96,Sun-like,F8V,2009ApJS..180..117A,-0.04,3.92,0.327,"L-A,L-B,Hab",101,HIP 82860,1,1,1,0,0,3,-4.941,BoroSaikia18,8.5,Glebocki05,1.18,F8V,HIP 82860,0,HD_153597,hot,6331,35,2005PASJ...57...27T,,4.42,0.07,2005PASJ...57...27T,-0.08,0.03,2005PASJ...57...27T,1.211,0,0.00,1,1,1,3,3,WANT,HIP 82860,HD_153597,0,HIP 82860,1.10911038,254.00703,65.134796
17.652,HIP 86736,HD_160915,4.86,0.469,0.015,56.65,0.24,HIP2,3.63,hot,F5V,2006AJ....132..161G,-0.02,3.61,0.454,"L-A,L-B,Hab",117,HIP 86736,1,1,1,0,0,3,-4.698,Gray06,11.7,Glebocki05,1.33,F5V,HIP 86736,0,HD_160915,hot,6435,80,2011A&A...530A.138C,,4.20,NA,1986ApJ...303..724B,-0.17,NA,1986ApJ...303..724B,1.356,0,#DIV/0!,1,0,0,1,3,NO,HIP 86736,HD_160915,0,HIP 86736,1.51690973,265.85748,-21.683193
17.990,HIP 910,HD_693,4.89,0.487,0.012,55.587,0.3324,GaiaDR2,3.61,Sun-like,F8V_Fe-0.8_CH-0.5,2006AJ....132..161G,-0.04,3.57,0.466,"L-A,L-B,Hab",129,HIP 910,1,1,1,0,0,3,-4.962,Schroder09,4.8,Glebocki05,1.18,F8V_Fe-0.8_CH-0.5,HIP 910,1,HD_693,quiet,6169,30,2005PASJ...57...27T,,4.07,0.06,2005PASJ...57...27T,-0.34,0.02,2005PASJ...57...27T,1.497,0,0.00,1,2,1,4,3,MUST,HIP 910,HD_693,0,HIP 910,1.65949031,2.8160717,-15.467978
12.177,HIP 80686,HD_147584,4.90,0.555,0.016,82.1233,0.1712,GaiaDR2,4.47,Sun-like,F9V,2006AJ....132..161G,-0.05,4.42,0.127,"L-A,L-B,Hab",67,HIP 80686,1,1,1,0,0,3,-4.516,BoroSaikia18,2.4,Glebocki05,1.14,F9V,HIP 80686,1,HD_147584,active,6030,77,2013ApJ...764...78R,,4.43,0.03,2013ApJ...764...78R,-0.08,0.04,2013ApJ...764...78R,1.061,0,0.00,1,2,1,4,3,MUST,HIP 80686,HD_147584,0,HIP 80686,1.07767131,247.11726,-70.084404
17.910,HIP 65721,HD_117176,4.97,0.714,0.007,55.8347,0.173,GaiaDR2,3.70,Sun-like,G4V-IV,2002AJ....124.1670M,-0.1,3.60,0.454,"L-A,L-B,Hab",127,HIP 65721,1,1,1,0,0,3,-5.260,Radick18,3.0,Glebocki05,0.99,G4V-IV,HIP 65721,1,HD_117176,quiet,5559,19,2015A&A...574A..50J,,4.05,0.04,2015A&A...574A..50J,-0.06,0.02,2015A&A...574A..50J,1.819,0,0.00,1,2,1,4,3,MUST,HIP 65721,HD_117176,GTO,HIP 65721,1.55543303,202.10754,13.778788
18.177,HIP 64583,HD_114837,4.90,0.489,0.020,55.0143,0.2644,GaiaDR2,3.60,hot,F6V_Fe-0.4,2006AJ....132..161G,-0.03,3.57,0.467,L-A,,HIP 64583,1,0,0,0,0,1,-4.665,BoroSaikia18,13.8,Glebocki05,1.25,F6V_Fe-0.4,HIP 64583,1,HD_114837,hot,6303,51,2013ApJ...764...78R,,4.17,0.02,2013ApJ...764...78R,-0.29,0.08,2013ApJ...764...78R,1.436,0,#DIV/0!,1,0,0,1,1,NO,HIP 64583,HD_114837,0,HIP 64583,1.52225981,198.5631,-59.103233
14.822,HIP 47592,HD_84117,4.93,0.534,0.004,67.4693,0.1921,GaiaDR2,4.08,Sun-like,F9V,1989ApJS...71..245K,-0.05,4.03,0.286,"L-A,Hab",96,HIP 47592,1,0,1,0,0,2,-5.023,Isaacson10,5.3,Glebocki05,1.14,F9V,HIP 47592,1,HD_84117,quiet,6152,44,2005ApJS..159..141V,,4.31,0.06,2005ApJS..159..141V,-0.07,0.03,2005ApJS..159..141V,1.223,0,0.00,1,1,1,3,2,WANT,HIP 47592,HD_84117,0,HIP 47592,1.23733206,145.56007,-23.91557
27.731,HIP 56280,HD_100286,4.93,0.540,0.004,36.0601,0.1266,GaiaDR2,2.72,Sun-like,F8IV-V,2006AJ....132..161G,-0.04,2.68,0.826,L-A,,HIP 56280,1,0,0,0,0,1,-4.944,Gray06,8.0,Glebocki05,1.18,F8IV-V,HIP 56280,0,HD_100286,hot,6308,80,2011A&A...530A.138C,,4.17,NA,2017AJ....153...21L,0.03,NA,2017AJ....153...21L,2.167,0,0.00,1,1,1,3,1,WANT,HIP 56280,HD_100286,0,HIP 56280,1.47902246,173.06834,-29.261023
22.473,HIP 37606,HD_62644,5.04,0.765,0.017,44.4971,0.2905,GaiaDR2,3.28,Sun-like,G8IV-V,2006AJ....132..161G,-0.14,3.14,0.639,"L-A,L-B",,HIP 37606,1,1,0,0,0,2,-5.207,Gray06,4.3,Ammler-vonEiff12,0.94,G8IV-V,HIP 37606,1,HD_62644,quiet,5526,70,2006A&A...458..609D,,4.10,0.20,2006A&A...458..609D,0.19,0.05,2006A&A...458..609D,2.278,0,0.00,1,2,1,4,2,MUST,HIP 37606,HD_62644,0,HIP 37606,1.43086212,115.7379,-45.17312
18.353,HIP 109422,HD_210302,4.94,0.489,0.007,54.4879,0.154,GaiaDR2,3.62,hot,F6V,2006AJ....132..161G,-0.03,3.59,0.459,"L-A,Hab",133,HIP 109422,1,0,1,0,0,2,-4.911,Isaacson10,12.6,Glebocki05,1.25,F6V,HIP 109422,1,HD_210302,hot,6405,44,2014A&A...570A..80T,,4.24,0.15,2014A&A...570A..80T,0.10,0.04,2014A&A...570A..80T,1.378,0,#DIV/0!,1,0,0,1,2,NO,HIP 109422,HD_210302,0,HIP 109422,1.4043939,332.5366,-32.54841
19.355,HIP 73996,HD_134083,4.93,0.429,0.006,51.6674,0.1882,GaiaDR2,3.50,hot,F5V,2003AJ....126.2048G,-0.02,3.48,0.506,"L-A,L-B,Hab",138,HIP 73996,1,1,1,0,0,3,-4.535,BoroSaikia18,43.0,Glebocki05,1.33,F5V,HIP 73996,1,HD_134083,hot,6435,44,2005ApJS..159..141V,,4.19,0.06,2005ApJS..159..141V,-0.02,0.03,2005ApJS..159..141V,1.440,0,#DIV/0!,1,0,0,1,3,NO,HIP 73996,HD_134083,0,HIP 73996,1.53447428,226.82527,24.869196
15.177,HIP 5862,HD_7570,4.97,0.571,0.007,65.8894,0.1803,GaiaDR2,4.06,Sun-like,F9V_Fe+0.4,2006AJ....132..161G,-0.05,4.01,0.290,"L-A,L-B,Hab",102,HIP 5862,1,1,1,0,0,3,-4.950,Henry96,4.7,Glebocki05,1.14,F9V_Fe+0.4,HIP 5862,1,HD_7570,quiet,6111,12,2014A&A...561A...7R,,4.36,0.03,2014A&A...561A...7R,0.17,0.01,2014A&A...561A...7R,1.246,0,0.00,1,2,1,4,3,MUST,HIP 5862,HD_7570,0,HIP 5862,1.16811653,18.796337,-45.531666
